"Student Number ",Section,Age,Gender,"City Address","Parent's monthly income","Last School Attended(High School)",Track,"General Weighted Average(GWA) - Grade 11 and 12 OR 4th year high school","General Weighted Average(GWA) - College 1st year 1st Semester","General Weighted Average(GWA) - College 1st year 2nd Semester","Are you affiliated in any School Organization in the university? (example Computer Society, PASIGYAW, LUNDAYAN, Himig Chorale)",CONTINUE/STOP
21-00946,BSIT-1D,22,0,1,2,5,1,3,3,3,1,
21-00315,BSIT-1B,20,0,1,1,1,1,4,4,4,0,
21-00596,BSIT-1B,18,1,1,1,23,1,4,5,2,0,
21-00955,BSIT-1D,22,0,1,1,22,5,3,4,4,0,
21-00010,BSIT-1B,19,0,1,1,23,1,4,4,4,0,
12-00058,BSIT-1B,18,0,1,1,23,3,4,4,4,0,
21-01067,BSIT-1D,22,1,1,2,23,5,1,3,4,0,
10-1239,BSIT-1D,22,1,1,2,23,5,3,3,2,0,
21-00532,BSIT-1B,19,1,1,1,2,3,5,5,5,1,
21-00996,BSIT-1C,19,1,1,1,2,1,4,5,5,0,
20-00725,BSIT-1C,18,1,1,1,23,1,4,2,3,0,
21-00753,BSIT-1B,19,1,1,2,2,3,3,4,4,0,
21-00556,BSIT-1A,18,1,1,1,22,3,4,4,4,0,
21-00159,BSIT-1B,19,1,1,2,23,3,4,5,2,0,
21-00749,BSIT-1C,20,1,1,1,3,1,5,5,3,0,
21-00180,BSIT-1B,19,1,2,2,23,3,4,5,3,0,
" 21-00416",BSIT-1B,19,0,1,3,23,3,4,5,4,0,
"21-00719 ",BSIT-1C,18,0,1,1,23,1,4,5,4,0,
21-00-980,BSIT-1C,19,0,1,1,2,1,4,4,2,0,
21-00986,BSIT-1C,18,0,1,1,2,1,4,4,4,1,
21-00995,BSIT-1C,18,0,1,1,2,1,4,4,4,0,
21-00655,BSIT-1C,18,0,2,2,23,1,4,3,4,0,
21-00342,BSIT-1B,19,1,1,2,1,1,5,5,4,1,
21-00057,BSIT-1A,19,0,1,2,23,3,5,5,2,0,
21-000425,BSIT-1B,19,0,1,3,23,3,4,4,4,0,
21-00699,BSIT-1C,18,0,1,1,2,1,4,5,2,0,
21-00299,BSIT-1B,19,1,1,2,23,3,3,4,4,0,
21-00976,BSIT-1C,20,0,1,1,2,1,3,5,2,1,
21-00895,BSIT-1C,19,0,1,2,23,1,4,4,4,0,
21-00705,BSIT-1C,19,1,1,1,23,1,4,5,5,0,
21-01014,BSIT-1C,19,0,1,1,1,1,3,4,4,0,
21-00998,BSIT-1C,19,1,1,3,2,1,4,5,5,0,
21-00999,BSIT-1C,19,0,1,2,2,1,3,4,4,0,
21-00219,BSIT-1A,18,0,1,1,20,3,4,2,2,0,
21-00855,BSIT-1C,18,1,1,1,23,1,4,5,4,0,
21-00984,BSIT-1C,19,0,1,1,23,1,3,2,4,0,
21-00683,BSIT-1B,19,1,1,2,1,1,4,5,4,0,
